Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-07-24 00:00:00-04:00,171.18540997583588,171.48764994079582,168.96577443134672,169.62693786621094,213400,0.0,0.0
2020-07-27 00:00:00-04:00,169.4474860050938,171.17596549342565,169.31525331041564,170.6753692626953,268100,0.0,0.0
2020-07-28 00:00:00-04:00,169.4474767811287,170.2597674077292,166.1888742300074,166.7461395263672,429900,0.0,0.0
2020-07-29 00:00:00-04:00,167.4828571094249,171.15705170124554,166.2455196379456,170.72256469726562,377000,0.0,0.0
2020-07-30 00:00:00-04:00,168.40855091583956,170.6281725986895,167.08620930578326,168.5880126953125,435300,0.0,0.0
2020-07-31 00:00:00-04:00,169.32469706035818,169.32469706035818,166.4061090922027,168.40850830078125,580100,0.0,0.0
2020-08-03 00:00:00-04:00,169.73085256885471,172.90445177815855,168.36129651750838,171.90325927734375,545400,0.0,0.0
2020-08-04 00:00:00-04:00,172.80999122280625,172.80999122280625,168.7957671533596,169.62693786621094,569700,0.0,0.0
2020-08-05 00:00:00-04:00,170.54315624304505,171.3932360174323,169.41917100246874,169.73086547851562,445600,0.0,0.0
2020-08-06 00:00:00-04:00,169.87252965554555,172.50774345122696,169.75917705359836,172.30938720703125,370100,0.0,0.0
2020-08-07 00:00:00-04:00,171.47824813664192,175.1146550454736,171.24211725636903,173.79232788085938,665300,0.0,0.0
2020-08-10 00:00:00-04:00,172.92332449894485,175.17129452594673,172.1110338985201,173.58448791503906,732400,0.0,0.0
2020-08-11 00:00:00-04:00,173.61285117512094,174.65183272388302,170.94930256909694,172.7344512939453,412200,0.0,0.0
2020-08-12 00:00:00-04:00,174.31178616265427,177.63651237173897,172.63053576191837,177.4381561279297,382200,0.0,0.0
2020-08-13 00:00:00-04:00,177.16425279725556,182.3591312550925,177.16425279725556,181.32958984375,542400,0.0,0.0
2020-08-14 00:00:00-04:00,181.60351006566765,184.1726147522344,180.98956123564008,183.5775604248047,620400,0.0,0.0
2020-08-17 00:00:00-04:00,184.1820605747781,188.60242311067688,184.1820605747781,188.08294677734375,435100,0.0,0.0
2020-08-18 00:00:00-04:00,187.0723125442939,189.8303192938805,184.92824027342022,186.70394897460938,642900,0.0,0.0
2020-08-19 00:00:00-04:00,174.3212159305116,175.43576090603722,161.69294416716164,162.66580200195312,2445600,0.0,0.0
2020-08-20 00:00:00-04:00,161.23011301448986,163.83700636181513,158.5382304474102,158.86880493164062,1227100,0.0,0.0
2020-08-21 00:00:00-04:00,159.00103882533142,159.1049369582636,154.86403683285158,156.64918518066406,877300,0.0,0.0
2020-08-24 00:00:00-04:00,157.82985394120826,158.86882095508324,153.862844432086,155.59132385253906,608300,0.0,0.0
2020-08-25 00:00:00-04:00,155.1190316115058,157.52756850662507,154.20284301056915,157.14976501464844,585800,0.0,0.0
2020-08-26 00:00:00-04:00,156.92309558024786,159.02937843796866,153.9572930874472,157.98095703125,493500,0.0,0.0
2020-08-27 00:00:00-04:00,158.97270428110272,158.97270428110272,155.37407304124906,156.64918518066406,536200,0.0,0.0
2020-08-28 00:00:00-04:00,157.23478791850633,158.9727072543481,156.76252628948754,158.18875122070312,523700,0.0,0.0
2020-08-31 00:00:00-04:00,158.6893693691013,159.1521910180505,155.56299925803546,156.24305725097656,577900,0.0,0.0
2020-09-01 00:00:00-04:00,156.4886304627763,157.99043362660944,154.4295763625056,155.2418670654297,535900,0.0,0.0
2020-09-02 00:00:00-04:00,156.63031368920718,162.27855946091503,155.26075767193748,161.6079559326172,585700,0.0,0.0
2020-09-03 00:00:00-04:00,160.72008756738356,160.8145312496504,154.0706354901389,156.50750732421875,1088100,0.0,0.0
2020-09-04 00:00:00-04:00,156.22414172493393,157.33868666815945,151.46375082722747,154.11785888671875,618900,0.0,0.0
2020-09-08 00:00:00-04:00,151.7882274449166,152.29962587555713,148.5683681312069,150.11199951171875,592900,0.43,0.0
2020-09-09 00:00:00-04:00,152.41326018159504,153.5118058339045,151.0874247373152,152.19544982910156,407900,0.0,0.0
2020-09-10 00:00:00-04:00,152.32800032985065,153.32235864383637,147.43189975638575,147.7728271484375,450200,0.0,0.0
2020-09-11 00:00:00-04:00,148.4452669298803,149.14606637461597,145.9924905488558,147.5266571044922,316100,0.0,0.0
2020-09-14 00:00:00-04:00,149.96047427513238,151.1442481028478,148.65358334521807,150.07411193847656,411200,0.0,0.0
2020-09-15 00:00:00-04:00,151.5135883505985,151.93026460897545,149.71424342197562,151.3241729736328,568100,0.0,0.0
2020-09-16 00:00:00-04:00,151.90185092642406,153.4076222089716,147.27092831681315,147.42245483398438,541000,0.0,0.0
2020-09-17 00:00:00-04:00,145.8788300157521,153.48340742384195,145.22539891140835,153.1898193359375,771400,0.0,0.0
2020-09-18 00:00:00-04:00,153.12349092774545,155.96454767737168,152.61209262061007,153.25607299804688,1847600,0.0,0.0
2020-09-21 00:00:00-04:00,152.01549492988372,152.31853349769588,148.8429754787898,150.77490234375,482100,0.0,0.0
2020-09-22 00:00:00-04:00,151.8544901542912,154.88494781923762,150.56654384039373,154.47772216796875,355300,0.0,0.0
2020-09-23 00:00:00-04:00,154.2409875015407,154.74290644022884,150.61390281887995,150.9643096923828,515300,0.0,0.0
2020-09-24 00:00:00-04:00,149.94150906178623,151.1821015491936,148.38839859314183,149.2691192626953,526900,0.0,0.0
2020-09-25 00:00:00-04:00,150.4434571865677,152.55530576691066,148.70094548305931,152.47007751464844,577300,0.0,0.0
2020-09-28 00:00:00-04:00,154.20311065977876,156.6180120805929,153.24662663992973,154.09893798828125,447700,0.0,0.0
2020-09-29 00:00:00-04:00,154.1273234759658,155.82248092132124,153.54017639160156,153.54017639160156,365700,0.0,0.0
2020-09-30 00:00:00-04:00,152.82994507363856,155.40583814950102,152.82994507363856,153.975830078125,378700,0.0,0.0
